Plot,4SF LFW,4SF MEDS,Eigenfaces LFW,Eigenfaces MEDS,x
CMC,0.384615,0.696275,0.0879121,0.148997,1.0
CMC,0.450549,0.74212,0.101648,0.183381,2.0
CMC,0.483516,0.773639,0.118132,0.209169,3.0
CMC,0.5,0.793696,0.131868,0.219198,4.0
CMC,0.519231,0.808023,0.156593,0.233524,5.0
CMC,0.524725,0.819484,0.175824,0.250716,6.0
CMC,0.53022,0.82808,0.192308,0.25788,7.0
CMC,0.549451,0.836676,0.197802,0.266476,8.0
CMC,0.563187,0.842407,0.197802,0.280802,9.0
CMC,0.563187,0.84957,0.206044,0.289398,10.0
CMC,0.568681,0.84957,0.222527,0.296562,11.0
CMC,0.571429,0.856734,0.228022,0.313754,12.0
CMC,0.576923,0.861032,0.236264,0.320917,13.0
CMC,0.587912,0.868195,0.247253,0.330946,14.0
CMC,0.593407,0.869628,0.252747,0.339542,15.0
CMC,0.598901,0.875358,0.258242,0.34384,16.0
CMC,0.598901,0.876791,0.263736,0.348138,17.0
CMC,0.607143,0.879656,0.263736,0.359599,18.0
CMC,0.618132,0.882522,0.266484,0.362464,19.0
CMC,0.626374,0.885387,0.274725,0.369628,20.0
CMC,0.626374,0.886819,0.274725,0.373926,21.0
CMC,0.629121,0.888252,0.282967,0.376791,22.0
CMC,0.631868,0.891117,0.291209,0.385387,23.0
CMC,0.631868,0.891117,0.304945,0.389685,24.0
CMC,0.637363,0.893983,0.31044,0.39255,25.0
CMC,0.645604,0.893983,0.315934,0.398281,26.0
CMC,0.656593,0.893983,0.318681,0.402579,27.0
CMC,0.656593,0.896848,0.335165,0.405444,28.0
CMC,0.659341,0.899713,0.335165,0.408309,29.0
CMC,0.659341,0.899713,0.337912,0.409742,30.0
CMC,0.659341,0.902579,0.337912,0.415473,31.0
CMC,0.664835,0.902579,0.346154,0.421203,32.0
CMC,0.667582,0.905444,0.354396,0.425501,33.0
CMC,0.675824,0.906877,0.35989,0.429799,34.0
CMC,0.675824,0.906877,0.376374,0.43553,35.0
CMC,0.678571,0.909742,0.381868,0.441261,36.0
CMC,0.684066,0.912607,0.387363,0.442693,37.0
CMC,0.684066,0.912607,0.392857,0.445559,38.0
CMC,0.684066,0.91404,0.398352,0.449857,39.0
CMC,0.684066,0.91404,0.403846,0.451289,40.0
CMC,0.686813,0.91404,0.412088,0.454155,41.0
CMC,0.686813,0.916905,0.414835,0.454155,42.0
CMC,0.695055,0.916905,0.423077,0.461318,43.0
CMC,0.697802,0.921203,0.425824,0.465616,44.0
CMC,0.700549,0.921203,0.428571,0.469914,45.0
CMC,0.703297,0.921203,0.431319,0.475645,46.0
CMC,0.703297,0.922636,0.434066,0.477077,47.0
CMC,0.706044,0.925501,0.447802,0.47851,48.0
CMC,0.706044,0.926934,0.453297,0.47851,49.0
CMC,0.706044,0.928367,0.453297,0.482808,50.0
CMC,0.706044,0.929799,0.461538,0.489971,51.0
CMC,0.708791,0.931232,0.461538,0.491404,52.0
CMC,0.714286,0.931232,0.464286,0.495702,53.0
CMC,0.717033,0.931232,0.472527,0.498567,54.0
CMC,0.717033,0.931232,0.475275,0.5,55.0
CMC,0.717033,0.931232,0.486264,0.510029,56.0
CMC,0.725275,0.932665,0.489011,0.511461,57.0
CMC,0.728022,0.934097,0.491758,0.515759,58.0
CMC,0.739011,0.934097,0.491758,0.52149,59.0
CMC,0.744505,0.934097,0.502747,0.524355,60.0
CMC,0.747253,0.93553,0.505495,0.524355,61.0
CMC,0.747253,0.93553,0.510989,0.527221,62.0
CMC,0.75,0.93553,0.510989,0.528653,63.0
CMC,0.75,0.936963,0.519231,0.534384,64.0
CMC,0.75,0.936963,0.524725,0.537249,65.0
CMC,0.752747,0.938395,0.53022,0.540115,66.0
CMC,0.752747,0.938395,0.532967,0.541547,67.0
CMC,0.758242,0.939828,0.532967,0.541547,68.0
CMC,0.760989,0.941261,0.532967,0.547278,69.0
CMC,0.760989,0.941261,0.535714,0.560172,70.0
CMC,0.763736,0.941261,0.538462,0.561605,71.0
CMC,0.766484,0.941261,0.541209,0.56447,72.0
CMC,0.769231,0.941261,0.543956,0.570201,73.0
CMC,0.771978,0.942693,0.546703,0.571633,74.0
CMC,0.771978,0.942693,0.546703,0.575931,75.0
CMC,0.782967,0.942693,0.546703,0.581662,76.0
CMC,0.785714,0.944126,0.552198,0.584527,77.0
CMC,0.802198,0.944126,0.552198,0.587393,78.0
CMC,0.802198,0.944126,0.554945,0.590258,79.0
CMC,0.804945,0.944126,0.554945,0.593123,80.0
CMC,0.804945,0.944126,0.557692,0.593123,81.0
CMC,0.804945,0.944126,0.557692,0.595989,82.0
CMC,0.804945,0.944126,0.56044,0.597421,83.0
CMC,0.81044,0.944126,0.56044,0.600287,84.0
CMC,0.81044,0.944126,0.568681,0.604585,85.0
