Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
DET,1e-06,0.999655
FAR,-7.95334,1e-06
FRR,-9.66455,0.0001
IET,0.001,0.999676
DET,1.02807e-06,0.999646
FAR,-7.95334,1.02807e-06
FRR,-9.66455,0.000101863
IET,0.00101394,0.999671
DET,1.05694e-06,0.999636
FAR,-7.95334,1.05694e-06
FRR,-9.66455,0.00010376
IET,0.00102807,0.999667
DET,1.08661e-06,0.999626
FAR,-7.95334,1.08661e-06
FRR,-9.66455,0.000105693
IET,0.0010424,0.999662
DET,1.11711e-06,0.999615
FAR,-7.95334,1.11711e-06
FRR,-9.66455,0.000107662
IET,0.00105693,0.999657
DET,1.14847e-06,0.999604
FAR,-7.95334,1.14847e-06
FRR,-9.66455,0.000109668
IET,0.00107167,0.999653
DET,1.18071e-06,0.999593
FAR,-7.95334,1.18071e-06
FRR,-9.66455,0.000111711
IET,0.00108661,0.999648
DET,1.21386e-06,0.999582
FAR,-7.95334,1.21386e-06
FRR,-9.66455,0.000113792
IET,0.00110175,0.999643
DET,1.24794e-06,0.99957
FAR,-7.95334,1.24794e-06
FRR,-9.66455,0.000115912
IET,0.00111711,0.999638
DET,1.28297e-06,0.999558
FAR,-7.95334,1.28297e-06
FRR,-9.66455,0.000118071
IET,0.00113268,0.999633
DET,1.31899e-06,0.999545
FAR,-7.95334,1.31899e-06
FRR,-9.66455,0.000120271
IET,0.00114847,0.999628
DET,1.35602e-06,0.999533
FAR,-7.95334,1.35602e-06
FRR,-9.66455,0.000122511
IET,0.00116448,0.999623
DET,1.39408e-06,0.99952
FAR,-7.95334,1.39408e-06
FRR,-9.66455,0.000124794
IET,0.00118071,0.999617
DET,1.43322e-06,0.999506
FAR,-7.95334,1.43322e-06
FRR,-9.66455,0.000127118
IET,0.00119717,0.999612
DET,1.47345e-06,0.999492
FAR,-7.95334,1.47345e-06
FRR,-9.66455,0.000129486
IET,0.00121386,0.999606
DET,1.51482e-06,0.999478
FAR,-7.95334,1.51482e-06
FRR,-9.66455,0.000131899
IET,0.00123078,0.999601
DET,1.55734e-06,0.999463
FAR,-7.95334,1.55734e-06
FRR,-9.66455,0.000134356
IET,0.00124794,0.999595
DET,1.60106e-06,0.999448
FAR,-7.95334,1.60106e-06
FRR,-9.66455,0.000136859
IET,0.00126533,0.99959
DET,1.64601e-06,0.999433
FAR,-7.95334,1.64601e-06
FRR,-9.66455,0.000139408
IET,0.00128297,0.999584
DET,1.69222e-06,0.999417
FAR,-7.95334,1.69222e-06
FRR,-9.66455,0.000142005
IET,0.00130085,0.999578
DET,1.73973e-06,0.9994
FAR,-7.95334,1.73973e-06
FRR,-9.66455,0.000144651
IET,0.00131899,0.999572
DET,1.78857e-06,0.999384
FAR,-7.95334,1.78857e-06
FRR,-9.66455,0.000147345
IET,0.00133737,0.999566
DET,1.83878e-06,0.999366
FAR,-7.95334,1.83878e-06
FRR,-9.66455,0.00015009
IET,0.00135602,0.99956
DET,1.8904e-06,0.999349
FAR,-7.95334,1.8904e-06
FRR,-9.66455,0.000152886
IET,0.00137492,0.999554
DET,1.94347e-06,0.99933
FAR,-7.95334,1.94347e-06
FRR,-9.66455,0.000155734
IET,0.00139408,0.999548
DET,1.99803e-06,0.999311
FAR,-7.95334,1.99803e-06
FRR,-9.66455,0.000158636
IET,0.00141352,0.999542
DET,2.05412e-06,0.999292
FAR,-7.95334,2.05412e-06
FRR,-9.66455,0.000161591
IET,0.00143322,0.999535
DET,2.11178e-06,0.999272
