Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
DET,1e-06,0.98656
FAR,2.26155,1e-06
FRR,-0.513108,0.0001
IET,0.001,0.959154
DET,1.02807e-06,0.986182
FAR,2.26155,1.02807e-06
FRR,-0.513108,0.000101863
IET,0.00101394,0.958584
DET,1.05694e-06,0.985794
FAR,2.26155,1.05694e-06
FRR,-0.513108,0.00010376
IET,0.00102807,0.958007
DET,1.08661e-06,0.985396
FAR,2.26155,1.08661e-06
FRR,-0.513108,0.000105693
IET,0.0010424,0.957422
DET,1.11711e-06,0.984986
FAR,2.26155,1.11711e-06
FRR,-0.513108,0.000107662
IET,0.00105693,0.956828
DET,1.14847e-06,0.984564
FAR,2.26155,1.14847e-06
FRR,-0.513108,0.000109668
IET,0.00107167,0.956227
DET,1.18071e-06,0.984131
FAR,2.26155,1.18071e-06
FRR,-0.513108,0.000111711
IET,0.00108661,0.955616
DET,1.21386e-06,0.983685
FAR,2.26155,1.21386e-06
FRR,-0.513108,0.000113792
IET,0.00110175,0.954998
DET,1.24794e-06,0.983227
FAR,2.26155,1.24794e-06
FRR,-0.513108,0.000115912
IET,0.00111711,0.95437
DET,1.28297e-06,0.982757
FAR,2.26155,1.28297e-06
FRR,-0.513108,0.000118071
IET,0.00113268,0.953734
DET,1.31899e-06,0.982272
FAR,2.26155,1.31899e-06
FRR,-0.513108,0.000120271
IET,0.00114847,0.953089
DET,1.35602e-06,0.981775
FAR,2.26155,1.35602e-06
FRR,-0.513108,0.000122511
IET,0.00116448,0.952435
DET,1.39408e-06,0.981263
FAR,2.26155,1.39408e-06
FRR,-0.513108,0.000124794
IET,0.00118071,0.951772
DET,1.43322e-06,0.980737
FAR,2.26155,1.43322e-06
FRR,-0.513108,0.000127118
IET,0.00119717,0.9511
DET,1.47345e-06,0.980196
FAR,2.26155,1.47345e-06
FRR,-0.513108,0.000129486
IET,0.00121386,0.950419
DET,1.51482e-06,0.97964
FAR,2.26155,1.51482e-06
FRR,-0.513108,0.000131899
IET,0.00123078,0.949727
DET,1.55734e-06,0.979069
FAR,2.26155,1.55734e-06
FRR,-0.513108,0.000134356
IET,0.00124794,0.949027
DET,1.60106e-06,0.978481
FAR,2.26155,1.60106e-06
FRR,-0.513108,0.000136859
IET,0.00126533,0.948316
DET,1.64601e-06,0.977877
FAR,2.26155,1.64601e-06
FRR,-0.513108,0.000139408
IET,0.00128297,0.947596
DET,1.69222e-06,0.977256
FAR,2.26155,1.69222e-06
FRR,-0.513108,0.000142005
IET,0.00130085,0.946865
DET,1.73973e-06,0.976618
FAR,2.26155,1.73973e-06
FRR,-0.513108,0.000144651
IET,0.00131899,0.946124
DET,1.78857e-06,0.975961
FAR,2.26155,1.78857e-06
FRR,-0.513108,0.000147345
IET,0.00133737,0.945373
DET,1.83878e-06,0.975286
FAR,2.26155,1.83878e-06
FRR,-0.513108,0.00015009
IET,0.00135602,0.944612
DET,1.8904e-06,0.974593
FAR,2.26155,1.8904e-06
FRR,-0.513108,0.000152886
IET,0.00137492,0.94384
DET,1.94347e-06,0.973879
FAR,2.26155,1.94347e-06
FRR,-0.513108,0.000155734
IET,0.00139408,0.943057
DET,1.99803e-06,0.973146
FAR,2.26155,1.99803e-06
FRR,-0.513108,0.000158636
IET,0.00141352,0.942263
DET,2.05412e-06,0.972392
FAR,2.26155,2.05412e-06
FRR,-0.513108,0.000161591
IET,0.00143322,0.941459
DET,2.11178e-06,0.971617
FAR,2.26155,2.11178e-06
FRR,-0.513108,0.000164601
