Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
DET,1e-06,0.914695
FAR,3.4686,1e-06
FRR,-0.33891,0.001
IET,0.1,0.9
DET,1.02807e-06,0.9123
FAR,3.4686,1.02807e-06
FRR,-0.33891,0.00101394
IET,0.100463,0.899538
DET,1.05694e-06,0.909838
FAR,3.4686,1.05694e-06
FRR,-0.33891,0.00102807
IET,0.100927,0.899073
DET,1.08661e-06,0.907307
FAR,3.4686,1.08661e-06
FRR,-0.33891,0.0010424
IET,0.101394,0.898606
DET,1.11711e-06,0.904705
FAR,3.4686,1.11711e-06
FRR,-0.33891,0.00105693
IET,0.101863,0.898137
DET,1.14847e-06,0.90203
FAR,3.4686,1.14847e-06
FRR,-0.33891,0.00107167
IET,0.102334,0.897666
DET,1.18071e-06,0.899279
FAR,3.4686,1.18071e-06
FRR,-0.33891,0.00108661
IET,0.102807,0.897193
DET,1.21386e-06,0.896452
FAR,3.4686,1.21386e-06
FRR,-0.33891,0.00110175
IET,0.103283,0.896717
DET,1.24794e-06,0.893545
FAR,3.4686,1.24794e-06
FRR,-0.33891,0.00111711
IET,0.10376,0.89624
DET,1.28297e-06,0.890556
FAR,3.4686,1.28297e-06
FRR,-0.33891,0.00113268
IET,0.10424,0.89576
DET,1.31899e-06,0.887484
FAR,3.4686,1.31899e-06
FRR,-0.33891,0.00114847
IET,0.104723,0.895278
DET,1.35602e-06,0.884325
FAR,3.4686,1.35602e-06
FRR,-0.33891,0.00116448
IET,0.105207,0.894793
DET,1.39408e-06,0.881078
FAR,3.4686,1.39408e-06
FRR,-0.33891,0.00118071
IET,0.105693,0.894307
DET,1.43322e-06,0.877739
FAR,3.4686,1.43322e-06
FRR,-0.33891,0.00119717
IET,0.106182,0.893818
DET,1.47345e-06,0.874307
FAR,3.4686,1.47345e-06
FRR,-0.33891,0.00121386
IET,0.106673,0.893327
DET,1.51482e-06,0.870778
FAR,3.4686,1.51482e-06
FRR,-0.33891,0.00123078
IET,0.107167,0.892833
DET,1.55734e-06,0.867151
FAR,3.4686,1.55734e-06
FRR,-0.33891,0.00124794
IET,0.107662,0.892338
DET,1.60106e-06,0.863421
FAR,3.4686,1.60106e-06
FRR,-0.33891,0.00126533
IET,0.10816,0.89184
DET,1.64601e-06,0.859587
FAR,3.4686,1.64601e-06
FRR,-0.33891,0.00128297
IET,0.108661,0.891339
DET,1.69222e-06,0.855645
FAR,3.4686,1.69222e-06
FRR,-0.33891,0.00130085
IET,0.109163,0.890837
DET,1.73973e-06,0.851593
FAR,3.4686,1.73973e-06
FRR,-0.33891,0.00131899
IET,0.109668,0.890332
DET,1.78857e-06,0.847426
FAR,3.4686,1.78857e-06
FRR,-0.33891,0.00133737
IET,0.110175,0.889825
DET,1.83878e-06,0.843143
FAR,3.4686,1.83878e-06
FRR,-0.33891,0.00135602
IET,0.110685,0.889315
DET,1.8904e-06,0.83874
FAR,3.4686,1.8904e-06
FRR,-0.33891,0.00137492
IET,0.111197,0.888803
DET,1.94347e-06,0.834213
FAR,3.4686,1.94347e-06
FRR,-0.33891,0.00139408
IET,0.111711,0.888289
DET,1.99803e-06,0.829558
FAR,3.4686,1.99803e-06
FRR,-0.33891,0.00141352
IET,0.112228,0.887772
DET,2.05412e-06,0.824773
FAR,3.4686,2.05412e-06
FRR,-0.338891,0.00143322
IET,0.112747,0.887253
DET,2.11178e-06,0.819854
FAR,3.4686,2.11178e-06
FRR,-0.338163,0.0014532
IET,0.113268,0.886732
DET,2.17107e-06,0.814797
FAR,3.4686,2.17107e-06
FRR,-0.337428,0.00147345
IET,0.113792,0.886208
DET,2.23202e-06,0.809598
FAR,3.4686,2.23202e-06
FRR,-0.33668,0.00149399
IET,0.114318,0.885682
DET,2.29468e-06,0.804253
FAR,3.4686,2.29468e-06
FRR,-0.335923,0.00151482
IET,0.114847,0.885153
DET,2.3591e-06,0.798757
FAR,3.4686,2.3591e-06
FRR,-0.335154,0.00153593
IET,0.115378,0.884622
DET,2.42532e-06,0.793108
FAR,3.4686,2.42532e-06
FRR,-0.334376,0.00155734
IET,0.115912,0.884088
DET,2.49341e-06,0.7873
FAR,3.4686,2.49341e-06
FRR,-0.333587,0.00157905
IET,0.116448,0.883552
