,Name,Template,Rep
0,S001,../../../openbr/data/MEDS/img/S001-04-t10_01.jpg,"[-0.021688051521778, 0.032606091350317, 0.020356699824333, -0.13542579114437, -0.039057284593582, 0.11727654933929, -0.28679218888283, 0.04945345595479, 0.0024879390839487, -0.028199400752783, -0.042687933892012, -0.12179785221815, 0.042268689721823, 0.074992127716541, 0.10404192656279, -0.019045395776629, 0.11433727294207, -0.051936291158199, 0.11161211133003, 0.023067312315106, 0.06955536454916, 0.065895207226276, 0.13469541072845, 0.07102382183075, 0.0026158767286688, -0.0093917269259691, 0.071983627974987, -0.034665632992983, -0.029836980625987, -0.065316244959831, 0.17941714823246, -0.19714586436749, 0.10732103139162, 0.025110106915236, 0.077906832098961, 0.18065057694912, 0.071963213384151, 0.060733038932085, 0.0056409053504467, -0.01073148380965, -0.18581482768059, 0.04998267814517, -0.082758650183678, -0.038462392985821, 0.080606356263161, 0.021207300946116, 0.043684750795364, 0.10221213847399, -0.033062640577555, 0.12589454650879, -0.058160368353128, 0.050296869128942, 0.10638034343719, -0.0013618683442473, -0.02100632339716, 0.010495095513761, 0.095342829823494, -0.042138926684856, 0.014782016165555, -0.21257846057415, -0.030734963715076, 0.091393902897835, -0.0023104124702513, -0.10284066200256, -0.043405842036009, -0.087049476802349, 0.059649527072906, 0.15820218622684, 0.010881056077778, 0.11452728509903, 0.012141488492489, -0.058338072150946, -0.1552619189024, -0.16659334301949, 0.0084611447528005, -0.031713094562292, -0.072892606258392, 0.048794407397509, 0.12417780607939, 0.11409293115139, -0.063787870109081, 0.050736755132675, 0.0059886244125664, 0.011638507246971, 0.047666564583778, -0.063983403146267, -0.077310897409916, 0.049023117870092, 0.10456842184067, 0.059287320822477, 0.004833179526031, 0.013570664450526, 0.11297924816608, 0.14249062538147, 0.05393349006772, -0.023071898147464, -0.027492351830006, 0.14880754053593, -0.18315471708775, -0.074160404503345, 0.070495091378689, 0.048834800720215, -0.15663178265095, -0.089665159583092, -0.030040154233575, 0.056583885103464, -0.044237732887268, -0.26478397846222, 0.047042556107044, 0.024106990545988, -0.0056165615096688, 0.010705940425396, 0.0058938818983734, 0.050578828901052, 0.019103931263089, 0.087408766150475, -0.044948946684599, -0.14562317728996, -0.058522112667561, 0.067978076636791, 0.04049688577652, -0.028876954689622, 0.042131759226322, -0.019216699525714, -0.045713972300291, -0.024016186594963, 0.12208633869886, 0.052792962640524]"
1,S002,../../../openbr/data/MEDS/img/S002-01-t10_01.jpg,"[0.044132921844721, 0.049210928380489, 0.15790069103241, 0.11989492177963, 0.087921231985092, 0.082514487206936, 0.03298594430089, -0.11464568972588, -0.017979353666306, 0.01928554661572, 0.014556059613824, 0.0079914452508092, -0.018597982823849, 0.12541674077511, 0.17327019572258, 0.0047656949609518, 0.076876990497112, 0.10594875365496, -0.038360804319382, -0.019684476777911, -0.0079095661640167, -0.010823495686054, 0.015658313408494, 0.16634628176689, 0.17211773991585, -0.18651746213436, -0.051522605121136, 0.11542157828808, -0.064607508480549, 0.061862159520388, 0.052569966763258, 0.083120256662369, -0.01658758893609, 0.12662295997143, 0.0087285591289401, 0.060426026582718, 0.021246541291475, -0.11913792043924, -0.041703261435032, -0.10402081161737, 0.070123076438904, -0.043721087276936, 0.18780760467052, -0.13263013958931, -0.033456064760685, -0.064467415213585, -0.0011144044110551, 0.036710347980261, -0.018183369189501, 0.043793451040983, 0.15378813445568, -0.09208644926548, 0.026764897629619, -0.0323714800179, 0.11436861008406, 0.083597719669342, -0.13343498110771, 0.08272759616375, 0.04800371080637, 0.010251163505018, -0.079810068011284, 0.067491717636585, -0.096056051552296, -0.18910481035709, 0.082398690283298, 0.25239452719688, -0.082122579216957, -0.059922389686108, -0.28548076748848, 0.14984695613384, -0.0090061463415623, 0.11016876250505, -0.022021070122719, -0.021968603134155, 0.018973829224706, 0.035651043057442, 0.16893908381462, -0.062686912715435, 0.013438452966511, -0.095841534435749, 0.043148659169674, -0.013789667747915, 0.016890460625291, -0.066700428724289, -0.0074094231240451, -0.041220098733902, -0.08162547647953, -0.031363639980555, -0.043151684105396, 0.21261440217495, 0.033738031983376, -0.083846688270569, 0.023388743400574, 0.0066051091998816, -0.019479067996144, 0.10752828419209, -0.094772420823574, 0.018126985058188, 0.079288579523563, 0.0095887333154678, 0.049352865666151, 0.007957736030221, 0.017912628129125, -0.011841349303722, -0.0088262502104044, 0.093467593193054, -0.043812859803438, -0.11066191643476, -0.0069433627650142, -0.053397476673126, -0.045615535229445, 0.066586263477802, 0.078500851988792, 0.031175076961517, 0.066090770065784, -0.089261874556541, 0.071515373885632, 0.1316437125206, -0.019301686435938, 0.13723328709602, 0.11289305984974, -0.044270861893892, -0.019551789388061, 0.024939170107245, 0.045048605650663, 0.097977861762047, 0.11406157910824, -0.06833266466856]"
2,S003,../../../openbr/data/MEDS/img/S003-01-t10_01.jpg,"[0.033303778618574, -0.003605353878811, 0.15481907129288, 0.12462405115366, 0.049901630729437, 0.030997032299638, 0.0096956389024854, -0.17446073889732, 0.10523594170809, -0.17359626293182, -0.016999624669552, 0.026162324473262, -0.10402205586433, 0.14502444863319, 0.063853226602077, -0.0078720785677433, 0.024079848080873, -0.019623089581728, -0.13174286484718, -0.049344230443239, -0.083230569958687, 0.029912186786532, 0.046069253236055, 0.076930277049541, 0.093229465186596, -0.12049971520901, -0.067115940153599, 0.13994982838631, -0.092507630586624, -0.07741030305624, 0.12912583351135, 0.14172197878361, -0.074313417077065, 0.057783301919699, -0.034601841121912, 0.1008008569479, -0.049660541117191, 0.023403545841575, -0.071450352668762, 0.034263852983713, 0.096349507570267, 0.088173717260361, -0.0094846626743674, -0.1920423656702, 0.029261181131005, 0.013229170814157, -0.097774274647236, -0.018772773444653, 0.02998680062592, 0.039652556180954, -0.022525433450937, 0.0010093715973198, 0.085020996630192, -0.041882306337357, 0.0044306586496532, 0.0026934377383441, -0.1062453314662, 0.16257441043854, -0.014511520043015, 0.06013397872448, -0.1053129285574, 0.15180027484894, -0.043626874685287, -0.13761594891548, 0.035316750407219, 0.2300219386816, 0.034403163939714, 0.028629748150706, -0.21463078260422, 0.20626553893089, 0.067899867892265, 0.076176568865776, 0.05658308416605, 0.1288498044014, 0.0450817681849, 0.012320253066719, 0.055506508797407, -0.21141777932644, -0.091794833540916, -0.073832921683788, 0.039875097572803, 0.04974078759551, -0.020595552399755, -0.15499460697174, -0.049369800835848, -0.06098996847868, -0.042379807680845, -0.050068728625774, -0.18931351602077, 0.071075618267059, 0.10278909653425, -0.054920092225075, 0.10605306923389, -0.019821502268314, 0.11209079623222, 0.12376096844673, -0.023490313440561, -0.074831463396549, 0.083893559873104, 0.058428727090359, -0.056995756924152, -0.090317040681839, -0.058388847857714, 0.046626187860966, -0.016790315508842, 0.060466393828392, -0.026083210483193, -0.082099802792072, -0.00050022051436827, -0.056761108338833, 0.0089702224358916, 0.12119995802641, 0.075869515538216, 0.048057042062283, 0.068479970097542, -0.057198755443096, -0.030275616794825, 0.12591996788979, 0.096926912665367, 0.096941649913788, 0.062662206590176, 0.049122650176287, -0.023640656843781, 0.018534796312451, 0.061088133603334, 0.065070264041424, 0.041214074939489, -0.075887024402618]"
3,S004,../../../openbr/data/MEDS/img/S004-01-t10_01.jpg,"[0.034362830221653, 0.092674724757671, -0.10458280146122, -0.063262455165386, -0.082022055983543, 0.11579389870167, -0.048096761107445, 0.0021166319493204, 0.020586328580976, 0.0079189529642463, 0.075290694832802, -0.12848421931267, -0.0021317272912711, 0.11904367059469, -0.015683405101299, 0.022479899227619, 0.06770196557045, 0.17299024760723, 0.0389034897089, -0.12291850149632, 0.055159952491522, 0.082914121448994, -0.032071113586426, -0.033218305557966, -0.061717301607132, -0.048540018498898, 0.011177168227732, 0.035539075732231, 0.07663444429636, 0.0675363317132, 0.011282936669886, 3.7969584809616e-05, 0.014205677434802, -0.055906090885401, 0.096345476806164, 0.090518712997437, -0.036256361752748, -0.043792072683573, -0.0041639488190413, 0.0034585995599627, -0.19504117965698, 0.089774616062641, -0.030577914789319, 0.088188387453556, 0.067628554999828, -0.05525716766715, 0.025531195104122, 0.02432357519865, -0.13617174327374, -0.025875547900796, -0.02951542288065, 0.045536134392023, 0.0051973992958665, -0.0065638213418424, -0.12351759523153, 0.10207469761372, -0.012627561576664, 0.0694190710783, 0.018322279676795, -0.054248414933681, -0.044375818222761, 0.071305245161057, 0.17051765322685, -0.091743551194668, 0.0024888187181205, 0.034804917871952, 0.025089144706726, -0.047471560537815, -0.066288337111473, 0.1341118067503, 0.037072394043207, -0.10219664126635, 0.0027482733130455, -0.064857691526413, -0.15865905582905, -0.11156025528908, 0.0039373557083309, -0.10430175811052, -0.082920253276825, -0.21681705117226, 0.054216377437115, 0.10334727913141, -0.15512734651566, -0.14103351533413, -0.033982429653406, 0.03606428951025, -0.14574944972992, -0.17576193809509, 0.065494582056999, 0.12962305545807, 0.089086167514324, -0.0813277810812, -0.10864221304655, -0.03051913715899, 0.25727218389511, 0.11696296930313, -0.039152845740318, 0.087907515466213, -0.075695209205151, 0.14883761107922, 0.028921520337462, 0.055468052625656, -0.012262027710676, -0.10929156839848, -0.09007839858532, 0.10998445749283, 0.025215858593583, -0.20358875393867, -0.0067738401703537, -0.031751714646816, 0.032609608024359, -0.047225344926119, 0.057658188045025, -0.038042146712542, 0.085786215960979, -0.023396151140332, 0.12719722092152, -0.082887828350067, 0.16931216418743, -0.079379208385944, 0.047173798084259, -0.18222086131573, 0.13697569072247, -0.021623741835356, 0.049580778926611, -0.026776662096381, 0.10454751551151, -0.030308552086353]"
4,S005,../../../openbr/data/MEDS/img/S005-01-t10_01.jpg,"[0.075862720608711, 0.005500914528966, -0.0065693994984031, 0.052018083631992, -0.057128183543682, 0.095108710229397, -0.083838701248169, -0.037190720438957, 0.030783347785473, -0.01572778262198, 0.099829226732254, -0.11739849299192, 0.04994809627533, 0.096347332000732, 0.056296456605196, -0.0087732616811991, 0.069878920912743, 0.14621141552925, 0.022439073771238, 0.0010430585825816, 0.13232336938381, -0.042052831500769, 0.0060981283895671, 0.041990175843239, 0.071559205651283, -0.063966311514378, -0.017007948830724, -0.023968402296305, -0.014797557145357, 0.078268311917782, 0.064192824065685, 0.054631412029266, 0.085584372282028, 0.050939366221428, 0.12465038895607, 0.11191178113222, 0.0024832175113261, 0.00013022011262365, -0.036724634468555, -0.26068776845932, -0.11680846661329, -0.073619455099106, 0.021002676337957, 0.076426111161709, 0.01450546644628, -0.058027777820826, 0.0092407837510109, 0.092476949095726, -0.10973425209522, -0.020878734067082, -0.014039112254977, 0.028293097391725, 0.10323251783848, -0.0093540018424392, 0.057134706526995, 0.047037746757269, -0.078883267939091, -0.070744901895523, 0.04260179027915, -0.19987498223782, -0.043706562370062, -0.017085269093513, 0.06743298470974, -0.054746780544519, 0.0059098391793668, 0.15608985722065, -0.026366269215941, 0.011773427948356, -0.088598050177097, 0.11625254154205, -0.03023243881762, -0.12932887673378, -0.075916171073914, -0.20912839472294, -0.11439790576696, -0.11694024503231, 0.057853441685438, -0.065004497766495, 0.010451884940267, 0.0059785963967443, 0.0027312336023897, 0.0078924531117082, -0.12152496725321, -0.18454477190971, 0.033437386155128, -0.024765374138951, -0.12629251182079, -0.048006147146225, 0.10726893693209, 0.22440220415592, 0.11614291369915, -0.05941553786397, -0.078357368707657, 0.012850434519351, -0.0028605721890926, 0.055017404258251, -0.072932437062263, 0.10118222981691, -0.013185772113502, -0.047824639827013, 0.16503049433231, 0.095538482069969, 0.019406070932746, -0.16035528481007, -0.0047345031052828, 0.099545262753963, 0.041018966585398, -0.13115087151527, 0.09700919687748, -0.045872259885073, -0.042763009667397, 0.01466238964349, -0.063502199947834, -0.054492525756359, 0.15766596794128, -0.042769152671099, 0.060974806547165, -0.11200645565987, 0.1023161560297, 0.023579217493534, 0.075436770915985, -0.12063471972942, 0.10100065171719, 0.046331189572811, 0.10354550927877, -0.015986422076821, 0.29899567365646, 0.0030627034138888]"
5,S006,../../../openbr/data/MEDS/img/S006-01-t10_01.jpg,"[-0.020599868148565, 0.036942392587662, 0.29851508140564, 0.19456009566784, 0.012780256569386, -0.055830165743828, -0.033820196986198, -0.18535256385803, 0.050515051931143, -0.13691274821758, -0.057646166533232, 0.023684643208981, -0.10457206517458, 0.10051859915257, 0.015403027646244, -0.020035412162542, 0.067044578492641, 0.11723441630602, -0.083383694291115, 0.011586202308536, 0.022232873365283, -0.018202928826213, 0.037318170070648, 0.1536859869957, 0.13059118390083, -0.14249165356159, -0.094521649181843, 0.12030310928822, -0.0587552562356, 0.014593621715903, 0.028435999527574, 0.080495148897171, 0.035154182463884, 0.046030092984438, 0.050186168402433, -0.031612437218428, -0.010361936874688, 0.058297257870436, -0.10259818285704, -0.12675721943378, 0.019703213125467, 0.054092761129141, 0.099406890571117, -0.20878030359745, 0.046837326139212, 0.00062384956981987, -0.0079028150066733, -0.080011695623398, -0.036075279116631, 0.0094590475782752, 0.098875865340233, -0.019738845527172, 0.16935464739799, -0.017141567543149, 0.076811373233795, 0.012705044820905, -0.015829490497708, 0.0039977170526981, 0.045789618045092, -0.064908526837826, 0.026635300368071, 0.12565834820271, -0.16648611426353, -0.049984619021416, 0.077236287295818, 0.20627611875534, -0.023460110649467, -0.10955479741096, -0.26062196493149, 0.15946736931801, 0.011001639068127, -0.03958735615015, 0.034650072455406, 0.020686250180006, 0.025839928537607, 0.040095690637827, 0.07083235681057, -0.14184528589249, 0.0087853986769915, -0.069023437798023, -0.021579559892416, 0.075003288686275, -0.028781006112695, -0.099131524562836, 0.094253316521645, -0.094383664429188, -0.12489447742701, 0.0035066811833531, -0.13740915060043, 0.14426828920841, 0.0090139880776405, -0.016546620056033, 0.11404900997877, 0.0085784671828151, 0.0045662135817111, 0.091422706842422, -0.037047829478979, 0.044113662093878, 0.090146042406559, 0.0022886542137712, 0.059694536030293, 0.0031712849158794, -0.013769185170531, 0.026445576921105, 0.039595924317837, 0.014579877257347, 0.081282183527946, -0.095889031887054, 0.050209522247314, -0.081511676311493, -0.042588707059622, 0.052323207259178, 0.046785030514002, 0.015198245644569, 0.034713394939899, -0.072862066328526, -0.072032585740089, 0.088698536157608, -0.015105254948139, 0.039804127067327, -0.0053286468610168, 0.095714800059795, -0.099509932100773, -0.10502546280622, 0.10970986634493, 0.13158592581749, 0.12977860867977, -0.10697549581528]"
6,S007,../../../openbr/data/MEDS/img/S007-01-t10_01.jpg,"[-0.072915144264698, 0.015679012984037, 0.27014753222466, 0.16115352511406, 0.081574991345406, -0.039636090397835, -0.060879874974489, -0.12721581757069, 0.13198509812355, -0.12797595560551, -0.1095405369997, 0.072393201291561, -0.10065208375454, 0.026517249643803, -0.0080050192773342, 0.048123925924301, 0.070561319589615, 0.016437830403447, -0.11405538022518, 0.025638794526458, 0.063860453665257, -0.015577777288854, 0.013191198930144, 0.13748462498188, 0.097137272357941, -0.10722081363201, -0.1117333099246, 0.054098464548588, -0.034799229353666, -0.0002720735501498, 0.092538990080357, 0.10203187912703, 0.053034450858831, 0.031536407768726, 0.028540858998895, 0.021106818690896, 0.035061895847321, 0.036910660564899, -0.12700286507607, -0.10657455027103, 0.071754552423954, 0.065388187766075, 0.081187412142754, -0.25698161125183, 0.11599452793598, 0.06747192889452, 0.0016024910146371, -0.087769463658333, 0.00043229185394011, -0.039916045963764, 0.052546519786119, -0.023497285321355, 0.16487239301205, -0.056466769427061, 0.11467283219099, 0.027219921350479, -0.015190612524748, -0.041742075234652, -0.0007533761090599, -0.035506639629602, 0.023910321295261, 0.090292647480965, -0.20681823790073, -0.078420825302601, 0.1152261942625, 0.095092356204987, -0.036026608198881, -0.019420510157943, -0.18018968403339, 0.13853549957275, 0.027306759729981, -0.00094871426699683, -0.031091645359993, -0.068845294415951, 0.059996206313372, 0.16091258823872, 0.046225316822529, 0.010900107212365, -0.017155798152089, -0.054514035582542, -0.050088327378035, 0.12598791718483, -0.0017898676451296, 0.022808289155364, 0.091930881142616, -0.058579236268997, -0.052449621260166, 0.10009586066008, -0.17911458015442, 0.10235617309809, -0.037605281919241, 0.018805626779795, 0.065923802554607, 0.068256519734859, -0.017138423398137, 0.12796339392662, 0.0024163362104446, -0.0023946454748511, 0.053147803992033, 0.0090312650427222, 0.076725132763386, -0.088252104818821, -0.097205795347691, 0.017791416496038, 0.027485657483339, -0.012656745500863, 0.031415790319443, -0.11572756618261, 0.0043112263083458, -0.037254072725773, -0.12081452459097, 0.017663350328803, 0.020264415070415, -0.029650142416358, 0.06572499871254, -0.018312713131309, -0.18243509531021, 0.056728441268206, -0.1021893620491, 0.086494512856007, -0.010624021291733, 0.18598127365112, -0.074059128761292, -0.094125397503376, 0.08454318344593, 0.17502148449421, 0.061908837407827, -0.10786926746368]"
7,S008,../../../openbr/data/MEDS/img/S008-03-t10_01.jpg,"[0.00091571675147861, -0.0041128154844046, 0.17826829850674, 0.16618099808693, -0.016709987074137, 0.070863842964172, -0.086065456271172, -0.2141555249691, 0.023073984310031, -0.15699850022793, -0.081577643752098, 0.004787091165781, -0.10510867089033, 0.097289025783539, 0.072465158998966, -0.016932707279921, -0.049780134111643, -0.066776871681213, 0.0033936323598027, -0.042006362229586, -0.075606890022755, -0.0016875534784049, 0.089011818170547, 0.05160703510046, 0.11717205494642, -0.099413849413395, -0.07524161785841, 0.041868943721056, -0.16258402168751, -0.056287065148354, 0.070744127035141, 0.076375782489777, -0.030259791761637, 0.0074116084724665, 0.012038188055158, 0.077094301581383, 0.0089352019131184, -0.02517250739038, -0.025050900876522, -0.025261329486966, 0.061806496232748, -0.014862485229969, 0.013452441431582, -0.28260511159897, 0.020921766757965, 0.080825313925743, -2.4443197617074e-05, -0.04570671543479, -0.019873494282365, 0.039487861096859, 0.040372047573328, -0.017539728432894, 0.23237353563309, 0.027284113690257, 0.062709547579288, -0.021282801404595, 0.050551015883684, 0.0077957417815924, 0.040563508868217, -0.020239042118192, -0.018439471721649, 0.2153903990984, -0.12429563701153, -0.12880170345306, 0.06097450107336, 0.25166150927544, 0.055804308503866, 0.02172127738595, -0.1438319683075, 0.12207617610693, 0.011388047598302, 0.049987975507975, 0.0065555241890252, 0.033796101808548, 0.14552150666714, 0.097966521978378, -0.0090927183628082, -0.20883864164352, -0.014551770873368, 0.06019577011466, 0.040996082127094, 0.010392172262073, 0.00025343892048113, -0.077164426445961, -0.012243232689798, 0.022437317296863, -0.08024076372385, -0.026201112195849, -0.22499294579029, 0.07843029499054, 0.033340558409691, 0.0028566722758114, 0.17985962331295, 0.040275178849697, -0.10009218752384, 0.064883202314377, 0.011038780212402, 0.022403160110116, 0.13047531247139, -0.0045664282515645, 0.060524400323629, -0.051783103495836, -0.048488542437553, -0.016254909336567, 0.045883726328611, 0.032582685351372, 0.026870097965002, -0.033059094101191, -0.11038891226053, 0.019852610304952, -0.013202215544879, 0.034761976450682, 0.1306466460228, -0.077684551477432, -0.0051897680386901, 0.004366232547909, -0.1365938782692, 0.16610558331013, -0.010804812423885, 0.044445089995861, 0.043905973434448, -0.024583267048001, -0.018005574122071, -0.10960242152214, 0.090559333562851, 0.16064605116844, 0.055418990552425, -0.00029402319341898]"
8,S009,../../../openbr/data/MEDS/img/S009-01-t10_01.jpg,"[0.015902563929558, 0.0063520735129714, 0.0035567476879805, 0.039575710892677, -0.012984186410904, 0.13411740958691, 0.12203149497509, 0.020635960623622, 0.0938550978899, -0.014419419690967, 0.11484897881746, -0.034333284944296, -0.062364224344492, 0.035844661295414, 0.09086824208498, -0.10321950912476, -0.053703099489212, 0.053260650485754, -0.022847402840853, -0.18931525945663, -0.0010214942740276, 0.062635995447636, -0.11271981149912, -0.062826551496983, 0.057742018252611, -0.053666338324547, -0.070194862782955, -0.0031480144243687, 0.0025707387831062, -0.015655046328902, 0.1235163807869, -0.02237163297832, -0.092757634818554, -0.072299756109715, 0.022829044610262, 0.092210851609707, -0.16425827145576, -0.12044507265091, -0.039435863494873, 0.11243966966867, 0.10790479183197, 0.097125865519047, -0.16024322807789, 0.15506160259247, -0.070381328463554, -0.068693771958351, -0.10892389714718, -0.069431088864803, 0.038191702216864, -0.17487718164921, -0.020773604512215, 0.08666156232357, -0.081681817770004, -0.087368234992027, -0.097325511276722, 0.097362451255322, -0.15100468695164, 0.15754772722721, -0.011230675503612, 0.11761986464262, -0.12766678631306, -0.052364356815815, 0.097042851150036, -0.032197237014771, 0.059973943978548, -0.013450081460178, 0.11209035664797, -0.025773521512747, 0.010804429650307, 0.16964402794838, 0.17192095518112, 0.1122844144702, 0.11499554663897, -0.041187856346369, -0.10253511369228, -0.04107615724206, -0.12661755084991, -0.08091639727354, -0.16541197896004, -0.062127061188221, -0.024648919701576, 0.041568890213966, 0.022838963195682, -0.047814231365919, -0.0778613910079, -0.018750261515379, 0.13133165240288, -0.13674020767212, -0.11073415726423, -0.050755854696035, 0.01171303819865, -0.061681132763624, -0.07130691409111, -0.13301515579224, 0.077801994979382, -0.039662789553404, 0.0089324256405234, -0.17419344186783, -0.0061413291841745, 0.16215282678604, -0.10032733529806, 0.069795593619347, 0.072680965065956, -0.11636239290237, -0.095692932605743, 0.065089963376522, 0.019493356347084, -0.055012971162796, 0.0079988176003098, -0.0056534535251558, 0.072570070624352, -0.066108226776123, -0.069194369018078, -0.062265943735838, 0.098215684294701, -0.018840285018086, 0.051878958940506, -0.048128973692656, 0.14434288442135, -0.034391835331917, 0.084172211587429, -0.11193402856588, -0.043261788785458, 0.06552467495203, 0.14207026362419, 0.0003840540884994, 0.059475798159838, 0.097121737897396]"
9,S010,../../../openbr/data/MEDS/img/S010-01-t10_01.jpg,"[0.013083412311971, -0.14644536375999, 0.19966076314449, 0.11674340814352, 0.11983867734671, 0.024388436228037, -0.022077528759837, -0.10745536535978, 0.14815913140774, -0.13521753251553, -0.11127036064863, 0.068920813500881, -0.12790727615356, 0.10921282321215, 0.019037451595068, 0.0016920038033277, 0.073764406144619, -0.0077334139496088, -0.073610819876194, -0.058964040130377, -0.013710198923945, 0.069932892918587, 0.020883813500404, 0.070912942290306, 0.056618314236403, -0.051082152873278, -0.062316130846739, 0.068776085972786, -0.10542722791433, -0.10197148472071, 0.094678819179535, 0.09077487885952, -0.058540649712086, -0.0076813534833491, 0.01206090208143, 0.076244674623013, -0.021740281954408, -0.026828268542886, -0.11457032710314, -0.050655629485846, 0.11704577505589, 0.14903916418552, -0.046676579862833, -0.23725394904613, 0.059765551239252, 0.055426105856895, -0.1393326073885, -0.048314884305, 0.11952564865351, -0.058770764619112, 0.035434398800135, -0.019305624067783, 0.14801044762135, -0.057036362588406, 0.06291726231575, -0.0041953767649829, 0.0031756309326738, 0.033826816827059, 0.012863470241427, 0.050498705357313, 0.039971835911274, 0.12143859267235, -0.16737832129002, -0.052201349288225, 0.078082509338856, 0.073297828435898, 0.015656912699342, 0.10111453384161, -0.042834356427193, 0.22719076275826, 0.067572809755802, 0.073794260621071, 0.042991295456886, -0.052290752530098, -0.029315367341042, 0.13647653162479, 0.0010806303471327, -0.046404577791691, -0.072531417012215, -0.11358386278152, 0.012093821540475, 0.16171678900719, 0.032944109290838, -0.034385800361633, 0.075469747185707, -0.11396963149309, 0.044338837265968, 0.11698406934738, -0.22710654139519, 0.042210958898067, 0.020361794158816, 0.071212366223335, 0.095649115741253, 0.034857772290707, 0.0063535901717842, 0.117062933743, 0.050250973552465, -0.10546167939901, 0.067300856113434, 0.055942308157682, 0.087385170161724, -0.074244625866413, -0.065523020923138, -0.055858418345451, 0.025825439020991, -0.075103119015694, -0.01284821331501, -0.20541007816792, -0.059626642614603, 0.03194585442543, -0.031014719977975, 0.024911480024457, 0.10085187107325, -0.036509651690722, 0.089758686721325, -0.0034615404438227, -0.15008915960789, 0.0613107457757, -0.11844458431005, 0.008633891120553, 0.01181274279952, 0.1311578899622, -0.023243328556418, -0.10050140321255, 0.067872919142246, 0.13489559292793, -0.0012243740493432, -0.046362929046154]"
